,Ticker,Date,Instrument,Total Debt,Total Assets,Leverage
0,NESN.S,2022-03-31,NESN.S,46574000000,139142000000.0,0.334722801167153
1,NESN.S,2022-06-30,NESN.S,46574000000,139142000000.0,0.334722801167153
2,NESN.S,2022-09-30,NESN.S,46574000000,139142000000.0,0.334722801167153
3,NESN.S,2022-12-31,NESN.S,46574000000,139142000000.0,0.334722801167153
4,NESN.S,2023-03-31,NESN.S,54312000000,135182000000.0,0.4017694663490701
5,NESN.S,2023-06-30,NESN.S,54312000000,135182000000.0,0.4017694663490701
6,NESN.S,2023-09-30,NESN.S,54312000000,135182000000.0,0.4017694663490701
7,NESN.S,2023-12-31,NESN.S,54312000000,135182000000.0,0.4017694663490701
8,NESN.S,2024-03-31,NESN.S,55241000000,126550000000.0,0.43651521137890165
9,NESN.S,2024-06-30,NESN.S,55241000000,126550000000.0,0.43651521137890165
10,NESN.S,2024-09-30,NESN.S,55241000000,126550000000.0,0.43651521137890165
11,NESN.S,2024-12-31,NESN.S,55241000000,126550000000.0,0.43651521137890165
12,ULVR.L,2022-03-31,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
13,ULVR.L,2022-06-30,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
14,ULVR.L,2022-09-30,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
15,ULVR.L,2022-12-31,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
16,ULVR.L,2023-03-31,ULVR.L,28439000000,77821000000.0,0.3654412048161807
17,ULVR.L,2023-06-30,ULVR.L,28439000000,77821000000.0,0.3654412048161807
18,ULVR.L,2023-09-30,ULVR.L,28439000000,77821000000.0,0.3654412048161807
19,ULVR.L,2023-12-31,ULVR.L,28439000000,77821000000.0,0.3654412048161807
20,ULVR.L,2024-03-31,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
21,ULVR.L,2024-06-30,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
22,ULVR.L,2024-09-30,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
23,ULVR.L,2024-12-31,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
24,OREP.PA,2022-03-31,OREP.PA,6300400000,43013400000.0,0.14647528444624233
