Date,Instrument,Total Debt,Total Assets,Leverage,Ticker
2022-01-01,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-02,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-03,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-04,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-05,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-06,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-07,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-08,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-09,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-10,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-11,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-12,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-13,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-14,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-15,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-16,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-17,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-18,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-19,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-20,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-21,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-22,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-23,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-24,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-25,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-26,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-27,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-28,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-29,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-30,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-01-31,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-01,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-02,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-03,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-04,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-05,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-06,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-07,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-08,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-09,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-10,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-11,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-12,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-13,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-14,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-15,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-16,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-17,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-18,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-19,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-20,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-21,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-22,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-23,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-24,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-25,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-26,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-27,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-02-28,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-01,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-02,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-03,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-04,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-05,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-06,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-07,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-08,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-09,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-10,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-11,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-12,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-13,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-14,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-15,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-16,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-17,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-18,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-19,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-20,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-21,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-22,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-23,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-24,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-25,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-26,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-27,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-28,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-29,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-30,,39947000000,124028000000.0,0.32208049795207533,NESN.S
2022-03-31,NESN.S,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-01,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-02,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-03,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-04,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-05,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-06,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-07,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-08,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-09,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-10,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-11,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-12,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-13,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-14,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-15,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-16,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-17,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-18,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-19,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-20,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-21,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-22,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-23,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-24,,46574000000,139142000000.0,0.334722801167153,NESN.S
2022-04-25,,46574000000,139142000000.0,0.334722801167153,NESN.S
