Date,Instrument,EBITDA,Total Assets,Profitability,Ticker
2022-01-01,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-02,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-03,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-04,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-05,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-06,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-07,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-08,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-09,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-10,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-11,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-12,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-13,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-14,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-15,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-16,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-17,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-18,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-19,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-20,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-21,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-22,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-23,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-24,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-25,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-26,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-27,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-28,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-29,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-30,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-01-31,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-01,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-02,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-03,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-04,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-05,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-06,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-07,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-08,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-09,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-10,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-11,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-12,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-13,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-14,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-15,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-16,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-17,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-18,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-19,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-20,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
2022-02-21,,17753000000.0,124028000000.0,0.14313703357306415,NESN.S
