Ticker,Date,Instrument,Total Debt,Total Assets,Leverage
NESN.S,2022-03-31,NESN.S,46574000000,139142000000.0,0.334722801167153
NESN.S,2022-06-30,NESN.S,46574000000,139142000000.0,0.334722801167153
NESN.S,2022-09-30,NESN.S,46574000000,139142000000.0,0.334722801167153
NESN.S,2022-12-31,NESN.S,46574000000,139142000000.0,0.334722801167153
NESN.S,2023-03-31,NESN.S,54312000000,135182000000.0,0.4017694663490701
NESN.S,2023-06-30,NESN.S,54312000000,135182000000.0,0.4017694663490701
NESN.S,2023-09-30,NESN.S,54312000000,135182000000.0,0.4017694663490701
NESN.S,2023-12-31,NESN.S,54312000000,135182000000.0,0.4017694663490701
NESN.S,2024-03-31,NESN.S,55241000000,126550000000.0,0.43651521137890165
NESN.S,2024-06-30,NESN.S,55241000000,126550000000.0,0.43651521137890165
NESN.S,2024-09-30,NESN.S,55241000000,126550000000.0,0.43651521137890165
NESN.S,2024-12-31,NESN.S,55241000000,126550000000.0,0.43651521137890165
ULVR.L,2022-03-31,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
ULVR.L,2022-06-30,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
ULVR.L,2022-09-30,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
ULVR.L,2022-12-31,ULVR.L,29672000000,75094999999.9999,0.39512617351355006
ULVR.L,2023-03-31,ULVR.L,28439000000,77821000000.0,0.3654412048161807
ULVR.L,2023-06-30,ULVR.L,28439000000,77821000000.0,0.3654412048161807
ULVR.L,2023-09-30,ULVR.L,28439000000,77821000000.0,0.3654412048161807
ULVR.L,2023-12-31,ULVR.L,28439000000,77821000000.0,0.3654412048161807
ULVR.L,2024-03-31,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
ULVR.L,2024-06-30,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
ULVR.L,2024-09-30,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
ULVR.L,2024-12-31,ULVR.L,28593000000,75265999999.9999,0.3798926474105179
OREP.PA,2022-03-31,OREP.PA,6300400000,43013400000.0,0.14647528444624233
OREP.PA,2022-06-30,OREP.PA,6300400000,43013400000.0,0.14647528444624233
OREP.PA,2022-09-30,OREP.PA,6300400000,43013400000.0,0.14647528444624233
OREP.PA,2022-12-31,OREP.PA,6300400000,43013400000.0,0.14647528444624233
OREP.PA,2023-03-31,OREP.PA,5650900000,46844200000.0,0.12063179646573108
OREP.PA,2023-06-30,OREP.PA,5650900000,46844200000.0,0.12063179646573108
OREP.PA,2023-09-30,OREP.PA,5650900000,46844200000.0,0.12063179646573108
OREP.PA,2023-12-31,OREP.PA,5650900000,46844200000.0,0.12063179646573108
OREP.PA,2024-03-31,OREP.PA,8692200000,51855100000.0,0.16762478521881166
OREP.PA,2024-06-30,OREP.PA,8692200000,51855100000.0,0.16762478521881166
OREP.PA,2024-09-30,OREP.PA,8692200000,51855100000.0,0.16762478521881166
OREP.PA,2024-12-31,OREP.PA,8692200000,51855100000.0,0.16762478521881166
BATS.L,2022-03-31,BATS.L,39198000000,137365000000.0,0.28535653186765186
BATS.L,2022-06-30,BATS.L,39198000000,137365000000.0,0.28535653186765186
BATS.L,2022-09-30,BATS.L,39198000000,137365000000.0,0.28535653186765186
BATS.L,2022-12-31,BATS.L,39198000000,137365000000.0,0.28535653186765186
BATS.L,2023-03-31,BATS.L,42615000000,153546000000.0,0.2775389785471455
BATS.L,2023-06-30,BATS.L,42615000000,153546000000.0,0.2775389785471455
BATS.L,2023-09-30,BATS.L,42615000000,153546000000.0,0.2775389785471455
BATS.L,2023-12-31,BATS.L,42615000000,153546000000.0,0.2775389785471455
BATS.L,2024-03-31,BATS.L,39157000000,118716000000.0,0.329837595606321
BATS.L,2024-06-30,BATS.L,39157000000,118716000000.0,0.329837595606321
BATS.L,2024-09-30,BATS.L,39157000000,118716000000.0,0.329837595606321
BATS.L,2024-12-31,BATS.L,39157000000,118716000000.0,0.329837595606321
