,Company Name Full,date,Overall Maturity Score
0,Ahold,2023-01-01,0.003705974025974026
1,Ahold,2023-01-02,0.0265359040959041
2,Ahold,2023-01-03,0.04530473526473527
3,Ahold,2023-01-04,0.05832759240759241
4,Ahold,2023-01-05,0.06044523946641594
5,Ahold,2023-01-06,0.06044523946641594
6,Ahold,2023-01-07,0.06044523946641594
7,Ahold,2023-01-08,0.06044523946641594
8,Ahold,2023-01-09,0.06044523946641594
9,Ahold,2023-01-10,0.06117251219368867
10,Ahold,2023-01-11,0.08426179790797439
11,Ahold,2023-01-12,0.09269709202562144
12,Ahold,2023-01-13,0.0948399491684786
13,Ahold,2023-01-14,0.0948399491684786
14,Ahold,2023-01-15,0.0948399491684786
15,Ahold,2023-01-16,0.0948399491684786
16,Ahold,2023-01-17,0.0948399491684786
17,Ahold,2023-01-18,0.099827726097432
18,Ahold,2023-01-19,0.10776355497443735
19,Ahold,2023-01-20,0.10776355497443735
20,Ahold,2023-01-21,0.10776355497443735
21,Ahold,2023-01-22,0.10776355497443735
22,Ahold,2023-01-23,0.11534250234285841
23,Ahold,2023-01-24,0.1400461986465547
24,Ahold,2023-01-25,0.1400461986465547
25,Ahold,2023-01-26,0.1521524171339497
26,Ahold,2023-01-27,0.15971241713394968
27,Ahold,2023-01-28,0.15971241713394968
28,Ahold,2023-01-29,0.15971241713394968
29,Ahold,2023-01-30,0.16256955999109252
30,Ahold,2023-01-31,0.16781955999109252
31,Ahold,2023-02-01,0.16996241713394966
32,Ahold,2023-02-02,0.16996241713394966
33,Ahold,2023-02-03,0.16996241713394966
34,Ahold,2023-02-04,0.16996241713394966
35,Ahold,2023-02-05,0.16996241713394966
36,Ahold,2023-02-06,0.19358741713394967
37,Ahold,2023-02-07,0.19358741713394967
38,Ahold,2023-02-08,0.19358741713394967
39,Ahold,2023-02-09,0.1957050641927732
40,Ahold,2023-02-10,0.1957050641927732
41,Ahold,2023-02-11,0.1957050641927732
42,Ahold,2023-02-12,0.1957050641927732
43,Ahold,2023-02-13,0.1957050641927732
44,Ahold,2023-02-14,0.19738506419277319
45,Ahold,2023-02-15,0.19738506419277319
46,Ahold,2023-02-16,0.20496401156119426
47,Ahold,2023-02-17,0.20496401156119426
48,Ahold,2023-02-18,0.20496401156119426
49,Ahold,2023-02-19,0.20496401156119426
50,Ahold,2023-02-20,0.2125429589296153
51,Ahold,2023-02-21,0.21466060598843884
52,Ahold,2023-02-22,0.21466060598843884
53,Ahold,2023-02-23,0.21466060598843884
54,Ahold,2023-02-24,0.21466060598843884
55,Ahold,2023-02-25,0.21466060598843884
56,Ahold,2023-02-26,0.21466060598843884
57,Ahold,2023-02-27,0.21466060598843884
58,Ahold,2023-02-28,0.21723203455986742
59,Ahold,2023-03-01,0.21723203455986742
60,Ahold,2023-03-02,0.21723203455986742
61,Ahold,2023-03-03,0.21723203455986742
62,Ahold,2023-03-04,0.21723203455986742
63,Ahold,2023-03-05,0.21723203455986742
64,Ahold,2023-03-06,0.21723203455986742
65,Ahold,2023-03-07,0.21980346313129598
66,Ahold,2023-03-08,0.2255707358585687
67,Ahold,2023-03-09,0.2255707358585687
68,Ahold,2023-03-10,0.2255707358585687
69,Ahold,2023-03-11,0.2255707358585687
70,Ahold,2023-03-12,0.2255707358585687
71,Ahold,2023-03-13,0.2281421644299973
72,Ahold,2023-03-14,0.2281421644299973
73,Ahold,2023-03-15,0.2281421644299973
74,Ahold,2023-03-16,0.2281421644299973
75,Ahold,2023-03-17,0.2281421644299973
76,Ahold,2023-03-18,0.2281421644299973
77,Ahold,2023-03-19,0.2281421644299973
78,Ahold,2023-03-20,0.2281421644299973
79,Ahold,2023-03-21,0.2298221644299973
80,Ahold,2023-03-22,0.2298221644299973
81,Ahold,2023-03-23,0.2298221644299973
82,Ahold,2023-03-24,0.2298221644299973
83,Ahold,2023-03-25,0.2298221644299973
84,Ahold,2023-03-26,0.2298221644299973
85,Ahold,2023-03-27,0.2298221644299973
86,Ahold,2023-03-28,0.2298221644299973
87,Ahold,2023-03-29,0.2298221644299973
88,Ahold,2023-03-30,0.2298221644299973
89,Ahold,2023-03-31,0.2298221644299973
90,Ahold,2023-04-01,0.2298221644299973
91,Ahold,2023-04-02,0.2298221644299973
92,Ahold,2023-04-03,0.2298221644299973
93,Ahold,2023-04-04,0.2298221644299973
94,Ahold,2023-04-05,0.2298221644299973
95,Ahold,2023-04-06,0.2323935930014259
96,Ahold,2023-04-07,0.23496502157285445
97,Ahold,2023-04-08,0.23496502157285445
98,Ahold,2023-04-09,0.23496502157285445
99,Ahold,2023-04-10,0.23496502157285445
100,Ahold,2023-04-11,0.23496502157285445
101,Ahold,2023-04-12,0.23496502157285445
102,Ahold,2023-04-13,0.23496502157285445
103,Ahold,2023-04-14,0.23496502157285445
104,Ahold,2023-04-15,0.23496502157285445
105,Ahold,2023-04-16,0.23496502157285445
106,Ahold,2023-04-17,0.2368473745140309
107,Ahold,2023-04-18,0.2368473745140309
108,Ahold,2023-04-19,0.2376873745140309
109,Ahold,2023-04-20,0.23792266863167796
110,Ahold,2023-04-21,0.24548266863167797
111,Ahold,2023-04-22,0.24548266863167797
112,Ahold,2023-04-23,0.24548266863167797
113,Ahold,2023-04-24,0.24548266863167797
114,Ahold,2023-04-25,0.24548266863167797
115,Ahold,2023-04-26,0.24548266863167797
116,Ahold,2023-04-27,0.24805409720310653
117,Ahold,2023-04-28,0.24805409720310653
118,Ahold,2023-04-29,0.24805409720310653
119,Ahold,2023-04-30,0.24805409720310653
120,Ahold,2023-05-01,0.24805409720310653
121,Ahold,2023-05-02,0.24805409720310653
122,Ahold,2023-05-03,0.24805409720310653
123,Ahold,2023-05-04,0.24805409720310653
124,Ahold,2023-05-05,0.24805409720310653
125,Ahold,2023-05-06,0.24805409720310653
126,Ahold,2023-05-07,0.24805409720310653
127,Ahold,2023-05-08,0.24805409720310653
128,Ahold,2023-05-09,0.3084924088914182
129,Ahold,2023-05-10,0.3084924088914182
130,Ahold,2023-05-11,0.3084924088914182
131,Ahold,2023-05-12,0.3084924088914182
132,Ahold,2023-05-13,0.3084924088914182
133,Ahold,2023-05-14,0.3084924088914182
134,Ahold,2023-05-15,0.3084924088914182
135,Ahold,2023-05-16,0.3084924088914182
136,Ahold,2023-05-17,0.3084924088914182
137,Ahold,2023-05-18,0.3084924088914182
138,Ahold,2023-05-19,0.3084924088914182
139,Ahold,2023-05-20,0.3084924088914182
140,Ahold,2023-05-21,0.3084924088914182
141,Ahold,2023-05-22,0.3084924088914182
142,Ahold,2023-05-23,0.3084924088914182
143,Ahold,2023-05-24,0.3084924088914182
144,Ahold,2023-05-25,0.3084924088914182
145,Ahold,2023-05-26,0.3084924088914182
146,Ahold,2023-05-27,0.3084924088914182
147,Ahold,2023-05-28,0.3084924088914182
148,Ahold,2023-05-29,0.3084924088914182
149,Ahold,2023-05-30,0.3084924088914182
150,Ahold,2023-05-31,0.31106383746284677
151,Ahold,2023-06-01,0.31106383746284677
152,Ahold,2023-06-02,0.31106383746284677
153,Ahold,2023-06-03,0.31106383746284677
154,Ahold,2023-06-04,0.31106383746284677
155,Ahold,2023-06-05,0.3194638374628468
156,Ahold,2023-06-06,0.3194638374628468
157,Ahold,2023-06-07,0.3270427848312678
158,Ahold,2023-06-08,0.3291856419741249
159,Ahold,2023-06-09,0.3291856419741249
160,Ahold,2023-06-10,0.3291856419741249
161,Ahold,2023-06-11,0.3291856419741249
162,Ahold,2023-06-12,0.3291856419741249
163,Ahold,2023-06-13,0.3291856419741249
164,Ahold,2023-06-14,0.34493564197412496
165,Ahold,2023-06-15,0.34493564197412496
166,Ahold,2023-06-16,0.34493564197412496
167,Ahold,2023-06-17,0.34493564197412496
168,Ahold,2023-06-18,0.34493564197412496
169,Ahold,2023-06-19,0.34493564197412496
170,Ahold,2023-06-20,0.34493564197412496
171,Ahold,2023-06-21,0.34493564197412496
172,Ahold,2023-06-22,0.34493564197412496
173,Ahold,2023-06-23,0.34493564197412496
174,Ahold,2023-06-24,0.34493564197412496
175,Ahold,2023-06-25,0.34493564197412496
176,Ahold,2023-06-26,0.34493564197412496
177,Ahold,2023-06-27,0.34493564197412496
178,Ahold,2023-06-28,0.34493564197412496
179,Ahold,2023-06-29,0.352514589342546
180,Ahold,2023-06-30,0.352514589342546
181,Ahold,2023-07-01,0.352514589342546
182,Ahold,2023-07-02,0.352514589342546
183,Ahold,2023-07-03,0.352514589342546
184,Ahold,2023-07-04,0.352514589342546
185,Ahold,2023-07-05,0.352514589342546
186,Ahold,2023-07-06,0.352514589342546
187,Ahold,2023-07-07,0.352514589342546
188,Ahold,2023-07-08,0.352514589342546
189,Ahold,2023-07-09,0.352514589342546
190,Ahold,2023-07-10,0.352514589342546
191,Ahold,2023-07-11,0.352514589342546
192,Ahold,2023-07-12,0.352514589342546
193,Ahold,2023-07-13,0.352514589342546
194,Ahold,2023-07-14,0.352514589342546
195,Ahold,2023-07-15,0.352514589342546
196,Ahold,2023-07-16,0.352514589342546
197,Ahold,2023-07-17,0.352514589342546
198,Ahold,2023-07-18,0.353354589342546
199,Ahold,2023-07-19,0.353354589342546
200,Ahold,2023-07-20,0.353354589342546
201,Ahold,2023-07-21,0.353354589342546
202,Ahold,2023-07-22,0.353354589342546
203,Ahold,2023-07-23,0.353354589342546
204,Ahold,2023-07-24,0.353354589342546
205,Ahold,2023-07-25,0.353354589342546
206,Ahold,2023-07-26,0.353354589342546
207,Ahold,2023-07-27,0.353354589342546
208,Ahold,2023-07-28,0.353354589342546
209,Ahold,2023-07-29,0.353354589342546
210,Ahold,2023-07-30,0.353354589342546
211,Ahold,2023-07-31,0.353354589342546
212,Ahold,2023-08-01,0.353354589342546
213,Ahold,2023-08-02,0.353354589342546
214,Ahold,2023-08-03,0.353354589342546
215,Ahold,2023-08-04,0.353354589342546
216,Ahold,2023-08-05,0.353354589342546
217,Ahold,2023-08-06,0.353354589342546
218,Ahold,2023-08-07,0.353354589342546
219,Ahold,2023-08-08,0.353354589342546
220,Ahold,2023-08-09,0.353354589342546
221,Ahold,2023-08-10,0.353354589342546
222,Ahold,2023-08-11,0.353354589342546
223,Ahold,2023-08-12,0.353354589342546
224,Ahold,2023-08-13,0.353354589342546
225,Ahold,2023-08-14,0.353354589342546
226,Ahold,2023-08-15,0.353354589342546
227,Ahold,2023-08-16,0.353354589342546
228,Ahold,2023-08-17,0.353354589342546
229,Ahold,2023-08-18,0.353354589342546
230,Ahold,2023-08-19,0.353354589342546
231,Ahold,2023-08-20,0.353354589342546
232,Ahold,2023-08-21,0.353354589342546
233,Ahold,2023-08-22,0.353354589342546
234,Ahold,2023-08-23,0.35549744648540316
235,Ahold,2023-08-24,0.35549744648540316
236,Ahold,2023-08-25,0.35549744648540316
237,Ahold,2023-08-26,0.35549744648540316
238,Ahold,2023-08-27,0.35549744648540316
239,Ahold,2023-08-28,0.35549744648540316
240,Ahold,2023-08-29,0.35549744648540316
241,Ahold,2023-08-30,0.35549744648540316
242,Ahold,2023-08-31,0.35549744648540316
