Company Name Full,pillar,Supersector,date,Overall Maturity Score
Ahold,DLC,Consumer Goods,2023-01-01,0.008
Ahold,DLC,Consumer Goods,2023-01-02,0.064
Ahold,DLC,Consumer Goods,2023-01-03,0.124
Ahold,DLC,Consumer Goods,2023-01-04,0.152
Ahold,DLC,Consumer Goods,2023-01-05,0.152
Ahold,DLC,Consumer Goods,2023-01-06,0.152
Ahold,DLC,Consumer Goods,2023-01-07,0.152
Ahold,DLC,Consumer Goods,2023-01-08,0.152
Ahold,DLC,Consumer Goods,2023-01-09,0.152
Ahold,DLC,Consumer Goods,2023-01-10,0.152
Ahold,DLC,Consumer Goods,2023-01-11,0.152
Ahold,DLC,Consumer Goods,2023-01-12,0.172
Ahold,DLC,Consumer Goods,2023-01-13,0.172
Ahold,DLC,Consumer Goods,2023-01-14,0.172
Ahold,DLC,Consumer Goods,2023-01-15,0.172
Ahold,DLC,Consumer Goods,2023-01-16,0.172
Ahold,DLC,Consumer Goods,2023-01-17,0.172
Ahold,DLC,Consumer Goods,2023-01-18,0.172
Ahold,DLC,Consumer Goods,2023-01-19,0.172
Ahold,DLC,Consumer Goods,2023-01-20,0.172
Ahold,DLC,Consumer Goods,2023-01-21,0.172
Ahold,DLC,Consumer Goods,2023-01-22,0.172
Ahold,DLC,Consumer Goods,2023-01-23,0.172
Ahold,DLC,Consumer Goods,2023-01-24,0.212
Ahold,DLC,Consumer Goods,2023-01-25,0.212
Ahold,DLC,Consumer Goods,2023-01-26,0.248
Ahold,DLC,Consumer Goods,2023-01-27,0.284
Ahold,DLC,Consumer Goods,2023-01-28,0.284
Ahold,DLC,Consumer Goods,2023-01-29,0.284
Ahold,DLC,Consumer Goods,2023-01-30,0.284
Ahold,DLC,Consumer Goods,2023-01-31,0.284
Ahold,DLC,Consumer Goods,2023-02-01,0.284
Ahold,DLC,Consumer Goods,2023-02-02,0.284
Ahold,DLC,Consumer Goods,2023-02-03,0.284
Ahold,DLC,Consumer Goods,2023-02-04,0.284
Ahold,DLC,Consumer Goods,2023-02-05,0.284
Ahold,DLC,Consumer Goods,2023-02-06,0.284
Ahold,DLC,Consumer Goods,2023-02-07,0.284
Ahold,DLC,Consumer Goods,2023-02-08,0.284
Ahold,DLC,Consumer Goods,2023-02-09,0.284
Ahold,DLC,Consumer Goods,2023-02-10,0.284
Ahold,DLC,Consumer Goods,2023-02-11,0.284
Ahold,DLC,Consumer Goods,2023-02-12,0.284
Ahold,DLC,Consumer Goods,2023-02-13,0.284
Ahold,DLC,Consumer Goods,2023-02-14,0.292
Ahold,DLC,Consumer Goods,2023-02-15,0.292
Ahold,DLC,Consumer Goods,2023-02-16,0.292
Ahold,DLC,Consumer Goods,2023-02-17,0.292
Ahold,DLC,Consumer Goods,2023-02-18,0.292
Ahold,DLC,Consumer Goods,2023-02-19,0.292
Ahold,DLC,Consumer Goods,2023-02-20,0.292
Ahold,DLC,Consumer Goods,2023-02-21,0.292
Ahold,DLC,Consumer Goods,2023-02-22,0.292
Ahold,DLC,Consumer Goods,2023-02-23,0.292
Ahold,DLC,Consumer Goods,2023-02-24,0.292
Ahold,DLC,Consumer Goods,2023-02-25,0.292
Ahold,DLC,Consumer Goods,2023-02-26,0.292
Ahold,DLC,Consumer Goods,2023-02-27,0.292
Ahold,DLC,Consumer Goods,2023-02-28,0.292
Ahold,DLC,Consumer Goods,2023-03-01,0.292
Ahold,DLC,Consumer Goods,2023-03-02,0.292
Ahold,DLC,Consumer Goods,2023-03-03,0.292
Ahold,DLC,Consumer Goods,2023-03-04,0.292
Ahold,DLC,Consumer Goods,2023-03-05,0.292
Ahold,DLC,Consumer Goods,2023-03-06,0.292
Ahold,DLC,Consumer Goods,2023-03-07,0.292
Ahold,DLC,Consumer Goods,2023-03-08,0.316
Ahold,DLC,Consumer Goods,2023-03-09,0.316
Ahold,DLC,Consumer Goods,2023-03-10,0.316
Ahold,DLC,Consumer Goods,2023-03-11,0.316
Ahold,DLC,Consumer Goods,2023-03-12,0.316
Ahold,DLC,Consumer Goods,2023-03-13,0.316
Ahold,DLC,Consumer Goods,2023-03-14,0.316
Ahold,DLC,Consumer Goods,2023-03-15,0.316
Ahold,DLC,Consumer Goods,2023-03-16,0.316
Ahold,DLC,Consumer Goods,2023-03-17,0.316
Ahold,DLC,Consumer Goods,2023-03-18,0.316
Ahold,DLC,Consumer Goods,2023-03-19,0.316
Ahold,DLC,Consumer Goods,2023-03-20,0.316
Ahold,DLC,Consumer Goods,2023-03-21,0.324
Ahold,DLC,Consumer Goods,2023-03-22,0.324
Ahold,DLC,Consumer Goods,2023-03-23,0.324
Ahold,DLC,Consumer Goods,2023-03-24,0.324
Ahold,DLC,Consumer Goods,2023-03-25,0.324
Ahold,DLC,Consumer Goods,2023-03-26,0.324
Ahold,DLC,Consumer Goods,2023-03-27,0.324
Ahold,DLC,Consumer Goods,2023-03-28,0.324
Ahold,DLC,Consumer Goods,2023-03-29,0.324
Ahold,DLC,Consumer Goods,2023-03-30,0.324
Ahold,DLC,Consumer Goods,2023-03-31,0.324
Ahold,DLC,Consumer Goods,2023-04-01,0.324
Ahold,DLC,Consumer Goods,2023-04-02,0.324
Ahold,DLC,Consumer Goods,2023-04-03,0.324
Ahold,DLC,Consumer Goods,2023-04-04,0.324
Ahold,DLC,Consumer Goods,2023-04-05,0.324
Ahold,DLC,Consumer Goods,2023-04-06,0.324
Ahold,DLC,Consumer Goods,2023-04-07,0.324
Ahold,DLC,Consumer Goods,2023-04-08,0.324
Ahold,DLC,Consumer Goods,2023-04-09,0.324
Ahold,DLC,Consumer Goods,2023-04-10,0.324
Ahold,DLC,Consumer Goods,2023-04-11,0.324
Ahold,DLC,Consumer Goods,2023-04-12,0.324
Ahold,DLC,Consumer Goods,2023-04-13,0.324
